writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - II. Courante-UdUzLqBOb2E.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - III. Sarabande-8K8KrAPnvQ8.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - III. Sarabande-8K8KrAPnvQ8.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - IV. Gigue-YE5IkQP5xA4.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - IV. Gigue-YE5IkQP5xA4.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - V. Ciaccona-ai8NiHI1-eo.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 2 in D Minor, BWV 1004 - V. Ciaccona-ai8NiHI1-eo.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - I. Preludio-uju--tMDar8.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - I. Preludio-uju--tMDar8.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - II. Loure-KqkDQbKjFCY.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - II. Loure-KqkDQbKjFCY.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - III. Gavotte en rondeau-zKPnWcyymDQ.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - III. Gavotte en rondeau-zKPnWcyymDQ.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - IV. Menuet I-2mE0HrZJ35c.opus' as it's not a positive integer
writeCommonTags: couldn't write 'track' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - IV. Menuet I-2mE0HrZJ35c.opus' as it's not a positive integer
writeCommonTags: couldn't write 'year' tag to 'Violin Partita No. 3 in E Major, BWV 1006 - V. Menuet II-T6ORJsIhPj0.opus' as it's not a positive integer
